# Chunk-averaged data for fix 3 and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp
45000 100 2112
  79 0.785 21.434 817.365
  80 0.795 21.648 826.974
  81 0.805 21.842 785.346
  82 0.815 21.806 836.191
  83 0.825 22.006 793.689
  84 0.835 21.88 813.284
  85 0.845 21.648 863.678
  86 0.855 20.53 858.662
  87 0.865 19.986 835.103
  88 0.875 19.752 846.907
  89 0.885 20.662 873.193
  90 0.895 21.534 849.526
  91 0.905 21.968 844.535
  92 0.915 21.924 792.723
  93 0.925 21.916 795.395
  94 0.935 21.796 758.082
  95 0.945 21.582 778.791
  96 0.955 21.512 800.783
  97 0.965 21.478 807.622
  98 0.975 21.378 824.041
  99 0.985 20.478 820.795
  100 0.995 19.374 791.912
80000 100 2112
  1 0.005 19.2 774.473
  2 0.015 20.394 761.943
  3 0.025 21.226 817.92
  4 0.035 21.476 800.868
  5 0.045 21.43 813.074
  6 0.055 21.708 820.589
  7 0.065 21.636 829.316
  8 0.075 21.848 789.178
  9 0.085 21.97 810.625
  10 0.095 21.87 806.755
  11 0.105 21.682 789.034
  12 0.115 21.008 836.43
  13 0.125 20.168 862.255
  14 0.135 19.65 885.121
  15 0.145 20.4 892.994
  16 0.155 21.514 897.039
  17 0.165 21.664 843.909
  18 0.175 21.92 874.98
  19 0.185 21.926 900.651
  20 0.195 21.724 925.921
  21 0.205 21.524 925.939
  22 0.215 21.676 937.077
  23 0.225 21.226 902.032
  24 0.235 20.958 953.97
  25 0.245 19.984 914.167
  26 0.255 19.632 962.202
  27 0.265 19.66 990.593
  28 0.275 20.39 939.157
  29 0.285 21.122 925.746
  30 0.295 21.438 876.931
  31 0.305 21.54 916.299
  32 0.315 21.558 979.478
  33 0.325 21.796 867.071
  34 0.335 21.998 866.421
  35 0.345 21.858 893.909
  36 0.355 21.69 903.286
  37 0.365 20.956 923.227
  38 0.375 20.08 920.17
  39 0.385 19.662 965.384
  40 0.395 20.33 965.102
  41 0.405 21.47 1015.34
  42 0.415 21.862 1045.71
  43 0.425 21.886 1072.5
  44 0.435 21.776 1115.78
  45 0.445 21.698 1081.5
  46 0.455 21.52 1064.32
  47 0.465 21.366 1071.89
  48 0.475 21.104 1086.46
  49 0.485 20.266 1118.76
  50 0.495 19.17 1081.62
  51 0.505 19.462 1084.02
  52 0.515 20.29 1100.57
  53 0.525 21.166 1085.28
  54 0.535 21.32 1036.7
  55 0.545 21.606 1023.52
  56 0.555 21.696 1003.41
  57 0.565 21.8 974.863
  58 0.575 21.914 1050.83
  59 0.585 21.834 1089.83
  60 0.595 21.33 1033
  61 0.605 20.438 1040.26
  62 0.615 19.648 1012.24
  63 0.625 19.896 982.821
  64 0.635 21.174 899.553
  65 0.645 21.7 904.492
  66 0.655 21.998 867.799
  67 0.665 21.84 937.012
  68 0.675 21.74 949.496
  69 0.685 21.742 947.498
  70 0.695 21.506 863.946
  71 0.705 21.37 943.609
  72 0.715 21.204 898.187
  73 0.725 20.51 926.304
  74 0.735 19.458 937.775
  75 0.745 19.418 960.203
  76 0.755 20.056 901.855
  77 0.765 21.13 875.435
  78 0.775 21.358 851.376
  79 0.785 21.422 895.398
  80 0.795 21.608 926.147
  81 0.805 21.736 874.881
  82 0.815 21.942 808.77
  83 0.825 21.944 819.451
  84 0.835 21.852 866.2
  85 0.845 21.366 821.382
  86 0.855 20.506 810.049
  87 0.865 19.87 810.044
  88 0.875 19.932 775.144
  89 0.885 20.834 822.8
  90 0.895 21.796 813.942
  91 0.905 21.778 834.106
  92 0.915 21.956 836.999
  93 0.925 21.858 844.267
  94 0.935 21.84 830.102
  95 0.945 21.424 865.259
  96 0.955 21.616 834.751
  97 0.965 21.488 805.762
  98 0.975 21.232 784.348
  99 0.985 20.438 766.836
  100 0.995 19.348 780.003
85000 100 2111.9999999999995
  1 0.005 19.21 805.026
  2 0.015 20.39 741.766
  3 0.025 21.298 751.449
  4 0.035 21.444 751.626
  5 0.045 21.574 805.367
  6 0.055 21.492 792.012
  7 0.065 21.772 851.491
  8 0.075 21.85 834.637
  9 0.085 21.984 795.488
  10 0.095 21.974 793.575
  11 0.105 21.31 869.077
  12 0.115 20.754 853.055
  13 0.125 19.736 843.244
  14 0.135 19.852 834.348
  15 0.145 20.784 881.871
  16 0.155 21.652 888.028
  17 0.165 21.938 871.321
  18 0.175 21.894 821.92
  19 0.185 21.876 812.756
  20 0.195 21.67 851.458
  21 0.205 21.51 901.369
  22 0.215 21.572 868.013
  23 0.225 21.346 884.227
  24 0.235 20.85 924.514
  25 0.245 20.14 897.282
