#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn    rmse_v_val  rmse_v_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
  64500      1.58e+00    1.49e+00      3.99e-02    4.09e-02      7.42e-02    7.02e-02      2.38e-02    1.32e-02    3.7e-04
  65000      1.39e+00    2.27e+00      3.55e-02    3.72e-02      6.30e-02    1.14e-01      1.61e-02    1.72e-02    3.7e-04
  65500      1.73e+00    5.17e-01      2.38e-03    9.10e-03      8.80e-02    2.57e-02      2.63e-02    4.26e-03    3.7e-04
  66000      1.76e+00    3.04e+00      1.46e-02    1.78e-02      8.45e-02    1.55e-01      4.91e-02    4.00e-02    3.7e-04
  66500      1.72e+00    2.02e+00      2.06e-02    1.77e-02      7.67e-02    9.46e-02      7.03e-02    7.76e-02    3.7e-04
  67000      1.54e+00    1.31e+00      1.58e-02    1.72e-02      7.61e-02    6.43e-02      3.66e-02    3.14e-02    3.7e-04
  67500      9.81e-01    9.45e-01      6.68e-03    5.40e-03      4.99e-02    4.87e-02      1.12e-02    5.66e-03    3.7e-04
  68000      1.50e+00    1.57e+00      6.73e-03    2.54e-03      7.63e-02    8.13e-02      2.36e-02    1.07e-02    3.7e-04
  68500      1.45e+00    1.58e+00      6.48e-03    1.14e-02      7.40e-02    8.12e-02      1.65e-02    9.70e-03    3.7e-04
  69000      1.47e+00    2.30e+00      1.07e-02    7.29e-03      7.53e-02    1.19e-01      1.32e-02    7.47e-03    3.7e-04
  69500      1.32e+00    9.24e-01      6.21e-03    6.13e-03      6.68e-02    4.63e-02      2.41e-02    2.02e-02    3.7e-04
  70000      1.91e+00    1.73e+00      8.16e-03    6.32e-03      9.70e-02    8.88e-02      2.67e-02    1.54e-02    3.7e-04
  70500      1.80e+00    5.98e-01      1.80e-02    1.71e-02      9.04e-02    2.53e-02      2.70e-02    2.20e-02    3.7e-04
  71000      1.15e+00    1.08e+00      1.01e-03    1.73e-04      4.91e-02    4.91e-02      5.97e-02    4.88e-02    3.7e-04
  71500      1.12e+00    4.13e-01      1.25e-02    1.41e-02      5.60e-02    1.41e-02      1.70e-02    2.18e-02    3.7e-04
  72000      2.07e+00    1.42e+00      1.72e-02    1.81e-02      1.05e-01    7.06e-02      2.87e-02    2.55e-02    3.7e-04
  72500      1.32e+00    1.46e+00      1.98e-02    1.75e-02      6.55e-02    7.43e-02      1.33e-02    9.51e-03    3.7e-04
  73000      1.68e+00    1.05e+00      3.87e-02    4.12e-02      8.11e-02    4.40e-02      9.55e-03    9.30e-03    3.7e-04
  73500      1.13e+00    7.78e-01      1.09e-02    1.07e-02      5.71e-02    3.87e-02      1.23e-02    1.44e-02    3.7e-04
  74000      2.01e+00    1.58e+00      8.34e-03    7.69e-03      1.03e-01    8.10e-02      2.12e-02    1.49e-02    3.7e-04
  74500      1.89e+00    1.68e+00      2.24e-02    2.34e-02      9.54e-02    8.48e-02      1.12e-02    1.12e-02    3.7e-04
  75000      1.79e+00    1.60e+00      2.41e-02    2.12e-02      9.02e-02    8.09e-02      1.29e-02    1.45e-02    3.7e-04
  75500      1.42e+00    2.45e+00      2.03e-02    2.00e-02      7.04e-02    1.25e-01      2.04e-02    2.39e-02    3.7e-04
  76000      9.32e-01    4.24e-01      5.21e-03    2.36e-03      4.77e-02    2.15e-02      7.95e-03    7.29e-03    3.7e-04
  76500      1.12e+00    4.35e-01      2.80e-03    3.66e-03      5.78e-02    2.16e-02      8.29e-03    1.08e-02    3.7e-04
  77000      1.07e+00    5.70e-01      3.92e-03    3.72e-03      5.43e-02    2.91e-02      1.79e-02    7.56e-03    3.7e-04
  77500      1.31e+00    1.41e+00      1.03e-02    1.27e-02      6.67e-02    7.18e-02      1.56e-02    1.94e-02    3.7e-04
  78000      1.35e+00    1.34e+00      1.04e-02    1.00e-02      6.68e-02    6.53e-02      3.23e-02    4.09e-02    3.7e-04
  78500      1.64e+00    2.38e+00      2.39e-02    2.23e-02      6.27e-02    1.19e-01      8.92e-02    5.45e-02    3.7e-04
  79000      1.72e+00    2.40e+00      7.86e-03    8.89e-03      8.76e-02    1.24e-01      2.21e-02    2.10e-02    3.7e-04
  79500      9.22e-01    2.00e+00      1.44e-02    1.03e-02      4.26e-02    1.02e-01      3.17e-02    3.20e-02    3.7e-04
  80000      1.64e+00    2.23e+00      3.42e-02    3.29e-02      8.02e-02    1.13e-01      9.23e-03    1.58e-02    3.7e-04
  80500      1.74e+00    1.53e+00      6.76e-02    6.64e-02      7.13e-02    5.99e-02      2.25e-02    1.06e-02    3.7e-04
  81000      1.49e+00    2.65e+00      4.42e-03    9.50e-03      6.72e-02    1.35e-01      5.80e-02    4.32e-02    3.7e-04
  81500      1.49e+00    2.36e+00      1.77e-03    1.54e-04      7.69e-02    1.22e-01      1.50e-02    1.51e-02    3.7e-04
  82000      1.14e+00    9.01e-01      1.31e-02    1.49e-02      5.68e-02    4.48e-02      1.64e-02    1.07e-02    3.7e-04
  82500      1.57e+00    1.93e+00      2.74e-02    2.85e-02      7.74e-02    9.72e-02      1.67e-02    1.97e-02    3.7e-04
  83000      1.74e+00    8.62e-01      2.13e-02    2.19e-02      8.68e-02    4.00e-02      3.23e-02    1.92e-02    3.7e-04
  83500      1.74e+00    1.62e+00      1.72e-02    1.37e-02      8.83e-02    8.30e-02      1.63e-02    9.49e-03    3.7e-04
